benchmark,kind,domain,dwarf,framework,mode,details,validated,time
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.038531335070729256
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.04374704323709011
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.05359628424048424
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03856224752962589
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.038815148174762726
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.037627676501870155
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03846849873661995
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03885429911315441
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03892183676362038
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03801445662975311
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.038685236126184464
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03911789692938328
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03916209749877453
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03726166486740112
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03846530616283417
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03861694782972336
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03873198665678501
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03839799575507641
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03733224421739578
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03851001523435116
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.037685295566916466
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03722653537988663
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03790816478431225
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.038549045100808144
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03884976543486118
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03761431761085987
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03828378766775131
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.038504866883158684
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03845617547631264
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03803614526987076
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.038381386548280716
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03813154809176922
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.038475675508379936
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.0371690709143877
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03786744363605976
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03853696584701538
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.038513265550136566
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03854280523955822
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03860466741025448
bicg,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.041039371863007545
