benchmark,kind,domain,dwarf,framework,mode,details,validated,time
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.4908299706876278
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.4139601271599531
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.4771874845027924
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.5940618552267551
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.4496696591377258
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.3339178562164307
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.4344991836696863
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.3976583946496248
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.3424704633653164
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,strict,True,1.456088988110423
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.3961858842521906
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.395964402705431
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.39517253264784813
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.3957171216607094
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.458456888794899
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.3960954640060663
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.39543595165014267
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.39587274193763733
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.39583108201622963
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,fusion,True,0.4565073400735855
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.49802206456661224
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.4274368677288294
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.42606679163873196
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.4267998952418566
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.4258272238075733
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.4883178435266018
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.42712883464992046
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.42739320546388626
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.42589337192475796
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,parallel,True,0.4259943123906851
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.3757460806518793
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.38473326712846756
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.4742057267576456
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.385491905733943
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.38475050777196884
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.38650842756032944
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.3859826661646366
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.44894505850970745
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.38643308728933334
cavity_flow,microapp,cfds,structured_grids,DaCe CPU,main,auto_opt,False,0.38581162691116333
