benchmark,kind,domain,dwarf,framework,mode,details,validated,time
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.024100296199321747
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.023057755082845688
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.023629456758499146
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.023714208975434303
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.02387513592839241
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.023801198229193687
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.023646948859095573
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.023360485211014748
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.023611105978488922
crc16,microbench,other,combinatorial,DaCe CPU,main,strict,True,0.02279510535299778
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.02500138059258461
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.02388969622552395
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.023559344932436943
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.023814184591174126
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.023752115666866302
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.023626144975423813
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.02370738796889782
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.022803446277976036
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.02377723529934883
crc16,microbench,other,combinatorial,DaCe CPU,main,fusion,True,0.023259997367858887
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.023819684982299805
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.023434177041053772
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.023899627849459648
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.02387193776667118
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.02390068583190441
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.024047985672950745
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.023629747331142426
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.023756127804517746
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.023842109367251396
crc16,microbench,other,combinatorial,DaCe CPU,main,parallel,True,0.023532506078481674
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.02350795641541481
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.023822924122214317
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.023364229127764702
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.023816315457224846
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.023733915761113167
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.02306913584470749
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.024016978219151497
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.02348620444536209
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.02386370860040188
crc16,microbench,other,combinatorial,DaCe CPU,main,auto_opt,True,0.02387738786637783
