benchmark,kind,domain,dwarf,framework,mode,details,validated,time
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.032785976305604
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.1110934726893902
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0456828195601702
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0656524952501059
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0467851217836142
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0534802209585905
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0488478746265173
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0517445877194405
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0549292620271444
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,strict,True,1.0479898545891047
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5552866347134113
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5668482929468155
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5660649184137583
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.6758192013949156
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5704300478100777
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5686814524233341
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.6344730909913778
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5642435494810343
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5659506525844336
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,fusion,True,0.5670452620834112
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.5627606455236673
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.6507840398699045
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.5727366600185633
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.5714193154126406
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.5720406472682953
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.6338053103536367
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.5719742681831121
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.5712829362601042
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.5714674964547157
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,parallel,True,0.6053381655365229
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.38453388400375843
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.47961000725626945
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.3926008306443691
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.3931594844907522
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.39264226518571377
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.39292698353528976
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.45552059821784496
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.39217086508870125
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.39436944387853146
deriche,microapp,dsp,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.39284299314022064
