benchmark,kind,domain,dwarf,framework,mode,details,validated,time
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6722595915198326
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6681841555982828
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6682861689478159
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6683550756424665
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6681966166943312
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6682799085974693
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6710234619677067
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6681488174945116
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6682744883000851
doitgen,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.6682985965162516
