benchmark,kind,domain,dwarf,framework,mode,details,validated,time
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.9460184350609779
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,1.039622724056244
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.9471573457121849
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,1.0118579305708408
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.9472654368728399
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,1.0492662526667118
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.9462328720837831
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,1.002531660720706
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.9451865442097187
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,1.0266854763031006
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.9332911409437656
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,1.006936563178897
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.9331845194101334
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.9329815469682217
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.9951024111360312
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.9324425980448723
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,1.0051479618996382
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.932710787281394
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.9881657715886831
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.933905428275466
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9841405767947435
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9331863671541214
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,1.0016570836305618
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9415631648153067
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9317440334707499
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9946099277585745
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9333894550800323
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,1.008730472996831
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9321203529834747
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.980474540963769
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.9679887946695089
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,1.0255527012050152
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.9674534630030394
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,1.0548322163522243
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.9667975753545761
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.9948780052363873
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.9679181128740311
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,1.0507609490305185
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.9681338537484407
durbin,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,1.0279486030340195
