benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.277902690693736
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.297755092382431
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.217440651729703
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.356404533609748
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.2780507709831
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.199961543083191
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.240297315642238
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.240812750533223
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.282804427668452
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,6.265049705281854
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.235141159966588
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.295966804027557
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.243374802172184
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.252438452094793
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.298333887010813
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.199956960976124
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.274862710386515
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.307269372045994
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.244718361645937
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,6.261432560160756
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.261244075372815
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.2458789460361
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.306699439883232
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.239253403618932
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.263668838888407
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.307414634153247
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.292839206755161
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.240637576207519
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.269669208675623
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,6.312589151784778
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.336310246959329
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.3204116653651
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.3123087752610445
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.249664226546884
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.347493810579181
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.31707638502121
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.272878857329488
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.273263184353709
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.247101325541735
gemm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,6.286917535588145
