benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18307505175471306
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18219462223351002
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.1819539312273264
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18498049676418304
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18407798372209072
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.1823770422488451
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18479137681424618
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18258414044976234
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18322013318538666
gemm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,0.18456350453197956
