benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13595521077513695
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13885564170777798
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13888265192508698
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13911492377519608
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.1387154646217823
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13878301158547401
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13867847248911858
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13859279081225395
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.13912671245634556
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.14161072671413422
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.10851374082267284
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11175374127924442
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11180947162210941
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11168389953672886
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.16133978590369225
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.111761424690485
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11162014119327068
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11160044185817242
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11169461160898209
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11182642169296741
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.1106906533241272
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.11250671558082104
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.1125426422804594
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.11283723264932632
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.11256738193333149
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.11248895525932312
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.1126005332916975
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.11256436444818974
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.11276176199316978
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.1122717522084713
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.07871443778276443
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.0809559877961874
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08101868815720081
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08047591894865036
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08029952645301819
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08024874702095985
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08056400716304779
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.081075768917799
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08076950907707214
gemver,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08086542785167694
