benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03983215242624283
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.06447453983128071
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.08805106766521931
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.039650293067097664
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03973998315632343
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03978789411485195
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03969978541135788
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.03961716219782829
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.04004282504320145
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.04014829359948635
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03998211398720741
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03998469188809395
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03995087184011936
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.04006625711917877
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.040102144703269005
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.04010077565908432
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03998122550547123
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.040128542110323906
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.040030863136053085
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.03998105227947235
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03920728154480457
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03925786167383194
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03934955410659313
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.0393007006496191
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03933714143931866
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03930335119366646
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.039288900792598724
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.039415422827005386
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03923012129962444
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.03927993401885033
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03930353373289108
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03928835317492485
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.0470656119287014
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06789236329495907
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03958640433847904
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03933786414563656
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03931158222258091
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03932704217731953
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.03936509229242802
gesummv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.039383092895150185
