benchmark,kind,domain,dwarf,framework,mode,details,validated,time
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.0884399525821209
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.0896550752222538
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.08982764557003975
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.08973423764109612
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.08977682702243328
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.08977649547159672
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.09143234044313431
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.1325785219669342
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.08978325687348843
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.08969399519264698
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.08867831714451313
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.08992637880146503
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.09001265652477741
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.09034495800733566
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.09010833688080311
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.08989746868610382
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.08989873714745045
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.08996578864753246
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.09001675806939602
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.0899372287094593
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.0883621834218502
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08954676613211632
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08976596407592297
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08971542678773403
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08974706567823887
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08984464779496193
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08968882635235786
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08965861611068249
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08973428420722485
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.08971757628023624
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08833141066133976
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.0897488072514534
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08981949649751186
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.0898046363145113
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.09347320534288883
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.096480343490839
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.11031551845371723
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.0898626558482647
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08970670588314533
go_fast,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.08976251631975174
