benchmark,kind,domain,dwarf,framework,mode,details,validated,time
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.7778616584837437
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.7768948581069708
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.8454362843185663
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.7775387484580278
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.776235057041049
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.8792283087968826
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.777642110362649
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.8385492563247681
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.7749385572969913
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,0.7757643088698387
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.8429548796266317
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.7789864093065262
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.7787909731268883
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.849371274933219
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.7800212521106005
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.8495531175285578
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.7815161440521479
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.7802971508353949
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.8870357945561409
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,0.780482791364193
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03262605518102646
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03233351372182369
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03258433751761913
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03248886950314045
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03238593600690365
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.032439256086945534
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03251952677965164
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03233511559665203
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03238673508167267
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.03251457400619984
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.032541025429964066
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.032577523961663246
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.11189083196222782
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.032749855890870094
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.03240472450852394
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.03247509337961674
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.03246491588652134
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.03234362602233887
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.03233743645250797
gramschmidt,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.03234461322426796
