benchmark,kind,domain,dwarf,framework,mode,details,validated,time
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.3733765762299299
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.3128241803497076
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.31320006027817726
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.31386183574795723
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.3133557625114918
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.31345572136342525
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.4244952630251646
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.3124029990285635
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.3121338803321123
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,strict,True,0.31261848099529743
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.030184801667928696
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029576044529676437
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029594212770462036
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029579592868685722
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029771212488412857
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029574161395430565
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.02960757352411747
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029549382627010345
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029648691415786743
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,fusion,True,0.029647622257471085
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.027785729616880417
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.027469931170344353
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.027646450325846672
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.027717500925064087
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.02766125276684761
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.027731027454137802
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.02766876108944416
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.027679849416017532
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.027698250487446785
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,parallel,True,0.03348807618021965
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.028049809858202934
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.027620740234851837
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.02775697223842144
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.027772780507802963
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.027932332828640938
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.027826929464936256
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.027736131101846695
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.02776500955224037
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.027891159057617188
heat_3d,microbench,kernels,structured_grids,DaCe CPU,main,auto_opt,True,0.02794601023197174
