benchmark,kind,domain,dwarf,framework,mode,details,validated,time
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.4172117412090302
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.3915781918913126
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.430610427632928
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.4532659817487001
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.3949364516884089
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.4412399400025606
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.4641818720847368
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.391188571229577
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.4494157880544662
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,strict,True,1.450774548575282
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.3234110549092293
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.2400270216166973
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.295689543709159
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.2399445306509733
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.306622276082635
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.2932120375335217
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.2402706556022167
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.3074584119021893
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.2352581974118948
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,fusion,True,1.2960012555122375
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.2812963481992483
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.2250991258770227
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.3083317652344704
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.281357815489173
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.2256135325878859
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.3042919356375933
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.2728259805589914
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.2265253029763699
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.3273884654045105
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,parallel,True,1.2378973960876465
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.230487523600459
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.203365832567215
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.1625596806406975
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.225968111306429
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.163047080859542
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.2136743199080229
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.1633669789880514
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.211197905242443
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.207358229905367
mandelbrot1,microbench,kernels,unstructured_grids,DaCe CPU,main,auto_opt,True,1.1708079762756824
