benchmark,kind,domain,dwarf,framework,mode,details,validated,time
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09211354330182076
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09544330835342407
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09539195708930492
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09540298581123352
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09527254663407803
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09535791724920273
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09546744078397751
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.16237223707139492
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.0953036155551672
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,strict,True,0.09529239870607853
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06351010501384735
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06660819053649902
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06665019877254963
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06672149896621704
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06661560758948326
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.11857722140848637
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.0666068084537983
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06657897867262363
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06660758890211582
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,fusion,True,0.06682707741856575
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.06482547521591187
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.067261828109622
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.06761546060442924
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.06773230992257595
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.06776928156614304
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.07585974037647247
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.10214755684137344
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.0674234889447689
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.06736509315669537
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,parallel,True,0.06759199127554893
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06366832554340363
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06681747734546661
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06683351844549179
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06688458099961281
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06684939749538898
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.07516941241919994
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06834673881530762
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06659014895558357
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06728717871010303
softmax,microbench,deep_learning,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.06676413863897324
