benchmark,kind,domain,dwarf,framework,mode,details,validated,time
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.213952004909515
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.208247708156705
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.201629059389234
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.20161421597004
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.20463435165584
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.199873773381114
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.198086148127913
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.20311388373375
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.193789478391409
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,8.196956679224968
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.176904659718275
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.175572203472257
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.169715901836753
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.178413020446897
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.167085494846106
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.174379387870431
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.175403892993927
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.170110983774066
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.170758100226521
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,8.167971720919013
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.5577782746404409
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.5577828641980886
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.56031534075737
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.559549517929554
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.5592198166996241
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.5593126956373453
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.5601273775100708
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.5588932372629642
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.559155436232686
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,0.5585869643837214
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5529950466006994
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5515750199556351
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5518063325434923
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5515332631766796
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5515592396259308
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5512123070657253
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5525181833654642
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5532107055187225
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.5528544839471579
symm,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,0.552669370546937
