benchmark,kind,domain,dwarf,framework,mode,details,validated,time
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.853819489479065
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.848789343610406
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.944712348282337
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,11.002325428649783
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.974912283942103
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.965275708585978
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.939375340938568
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.971051156520844
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.850764399394393
symm,microbench,kernels,dense_linear_algebra,NumPy,main,numpy,True,10.815013118088245
