benchmark,kind,domain,dwarf,framework,mode,details,validated,time
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.8159909583628178
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.816852880641818
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.8185452111065388
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.8169905319809914
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.8176199048757553
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.8152100145816803
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.8137023579329252
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.81125258654356
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.81459148414433
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,False,2.8128530867397785
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.8517774380743504
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.8530776407569647
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.8542319405823946
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.8519735801965
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.852428460493684
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.8529436085373163
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.860806418582797
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.85129239782691
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.8531467728316784
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,False,2.8509081713855267
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.7888850811868906
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.744959721341729
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.7449967972934246
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.7435217145830393
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.7434728406369686
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.7434591092169285
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.74446801841259
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.746861321851611
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.7462071292102337
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,False,2.7453905567526817
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.75017143599689
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.7491587698459625
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.7467675283551216
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.748631512746215
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.7476533483713865
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.75552093796432
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.746625531464815
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.7491163201630116
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.747798305004835
syrk,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,False,2.7481144815683365
