benchmark,kind,domain,dwarf,framework,mode,details,validated,time
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8809776846319437
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8811487667262554
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8807612713426352
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8810821920633316
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8792978301644325
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8809070512652397
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.881137503311038
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8807010911405087
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8804950527846813
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,strict,True,0.8813688438385725
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.887537008151412
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8880188800394535
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8883098717778921
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8877837397158146
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8872863780707121
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.888261690735817
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8866985477507114
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8882590401917696
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8880363088101149
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,fusion,True,0.8873146586120129
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.9007183108478785
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.897926714271307
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.8978200536221266
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.8984955754131079
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.8982015550136566
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.8981080055236816
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.898600785061717
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.8978981524705887
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.8977019656449556
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,parallel,True,0.8983603455126286
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8733927384018898
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8733932860195637
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8739680182188749
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.874268177896738
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8753653913736343
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.874959209933877
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8734726347029209
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8745318595319986
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8744139168411493
trisolv,microbench,kernels,dense_linear_algebra,DaCe CPU,main,auto_opt,True,0.8824502807110548
