benchmark,kind,domain,dwarf,framework,mode,details,validated,time
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23322595283389091
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.2324644811451435
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23248795978724957
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.2330194227397442
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23274607211351395
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23264787159860134
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23252941109240055
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23250988125801086
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23232022114098072
vadv,microapp,climate,structured_grids,DaCe CPU,main,strict,True,0.23262020014226437
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.15221106074750423
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.15171737782657146
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.15285215340554714
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.1959915030747652
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.15159752778708935
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.15161944925785065
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.151819109916687
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.15172943100333214
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.152127580717206
vadv,microapp,climate,structured_grids,DaCe CPU,main,fusion,True,0.15134300105273724
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.15613022446632385
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.15588787384331226
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.1564056258648634
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.1548631601035595
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.15534429252147675
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.1553706917911768
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.15478290244936943
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.15539941377937794
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.15622781589627266
vadv,microapp,climate,structured_grids,DaCe CPU,main,parallel,True,0.15545250289142132
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08158994279801846
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08194737322628498
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08141571097075939
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08187635242938995
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.0814775601029396
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.0816729199141264
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08146787248551846
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08166605234146118
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08153638429939747
vadv,microapp,climate,structured_grids,DaCe CPU,main,auto_opt,True,0.08181675150990486
